HS Code,Description,SU,ID,VAT,LVY,EXC,DOV
2009411000,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009419000,Other; Concentrate of weight less than 25kg,KG,20,7.5,,,22/06/2023
2009491000,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009499000,Other; Concentrate of weight less than 25kg,KG,20,7.5,,,22/06/2023
2009501000,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009509000,Other tomatoes juice not specified.,KG,20,7.5,,,22/06/2023
2009611000,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009619000,Other; Concentrate of weight less than 25kg,KG,20,7.5,,,22/06/2023
2009691000,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009699000,Other; Concentrate of weight less than 25kg,KG,20,7.5,,,22/06/2023
2009711000,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009719000,Other; Concentrate of weight less than 25kg,KG,20,7.5,,,22/06/2023
2009791000,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009799000,Other; Concentrate of weight less than 25kg,KG,20,7.5,,,22/06/2023
2009811000,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009819000,Other; Concentrate of weight less than 25kg,KG,20,7.5,,,22/06/2023
2009891100,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009891900,Other guava juice not specified.,KG,20,7.5,,,22/06/2023
2009892100,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009892900,Other tamarind juice nnot specified,KG,20,7.5,,,22/06/2023
2009893100,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009893900,Other mango juice not specified.,KG,20,7.5,,,22/06/2023
2009899100,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009899900,Other juice not specified.,KG,20,7.5,,,22/06/2023
2009901000,Concentrate of weight not less than 25 kg for industrial use,KG,10,7.5,,,06/07/2022
2009909000,Other; Concentrate of weight less than 25kg,KG,20,7.5,,,22/06/2023
2101110000,"Extracts, essences and concentrates",KG,10,7.5,,,14/04/2020
2101120000,"Preparation with a basis of extracts, essences or concentrates or with a basis of coffee",KG,20,7.5,,,14/04/2020
2101200000,"Extracts, essences and concentrates, of tea or mate, and preparations",KG,10,7.5,,,14/04/2020
2101300000,"Roasted chicory and coffee substitutes, and extracts, essences and concentrates thereof",KG,20,7.5,,,14/04/2020
2102100000,Active yeasts,KG,5,7.5,,,14/04/2020
2102200000,"Inactive yeasts; other singlecell microorganisms, dead",KG,5,7.5,,,14/04/2020
2102300000,Prepared baking powders,KG,5,7.5,,,14/04/2020
2103100000,Soya sauce,KG,20,7.5,,,14/04/2020
2103200000,Tomato ketchup and other tomato sauces,KG,35,7.5,,,14/04/2020
2103300000,Mustard flour and meal and prepared mustard,KG,20,7.5,,,14/04/2020
2103901000,"Fish sauce ""NUOCMAM""",KG,20,7.5,,,14/04/2020
2103909100,Seasoning powder in packings of not less than 25 kg,KG,20,7.5,,,14/04/2020
2103909900,---  Other,KG,20,7.5,,,04/01/2022
2104101000,Preparations in block or loaf form,KG,20,7.5,,,14/04/2020
2104109000,Other Soups and broths and preparations therefor not specified.,KG,20,7.5,,,14/04/2020
2104200000,Homogenised composite food preparations,KG,20,7.5,,,14/04/2020
2105000000,"Ice cream and other edible ice, whether or not containing cocoa.",KG,20,7.5,,,14/04/2020
2106101000,Protein concentrates,KG,5,7.5,,,14/04/2020
2106102000,Textured protein substances,KG,10,7.5,,,14/04/2020
2106901000,Syrups containing added flavouring or colouring matter,KG,20,7.5,,,14/04/2020
2106909100,Stock powder,KG,10,7.5,,,01/04/2022
2106909200,"Extracts, essences and flavouring products of a kind used in the drink industries",KG,10,7.5,,,14/04/2020
2106909300,Breadimprovers,KG,5,7.5,,,14/04/2020
2106909400,Powders for the instant preparation of drinks,KG,20,7.5,,,14/04/2020
2106909500,"Preparations for ""herbal tea""",KG,20,7.5,,,14/04/2020
2106909600,Food supplements,KG,20,0,,,20/06/2020
2106909900,Other Food preparations not elsewhere specified or included.,KG,20,7.5,,,01/04/2022
2201101000,Mineral waters,LT,35,7.5,,,12/02/2020
2201102000,Aerated waters,LT,35,7.5,,,01/06/2023
2201900000,"Waters, including natural or artificial Other",LT,35,0,,,01/06/2023
2202100000,"Waters, mineral and aerated waters, containing sugar or sweetening matter or flavoured",LT,20,7.5,,,22/06/2023
2202910000,Non-alcoholic beer,L,20,7.5,,,22/06/2023
2202991000,Beverages containing high doses of caffeine of the kind “Energy drinks”,L,20,7.5,,,22/06/2023
2202999000,-  Other,L,20,7.5,,,22/06/2023
2203001000,In containers holding 50 centilitres or less,CL,20,7.5,,20,25/07/2023
2203009000,Other Beer made from malt not specified.,CL,20,7.5,,20,27/07/2023
2204100000,Sparkling wine,CL,20,7.5,,20,25/07/2023
2204210000,Other wine; grape with fermentation prevented by alcohol : In containers holding <2 L,CL,20,7.5,,20,27/07/2023
2204220000,In containers holding more than 2 l but not more than 10 l,L,20,7.5,,20,27/07/2023
2204291000,Wine; grape with fermentation prevented by alcohol : In containers >200 l for industry,CL,20,7.5,,20,27/07/2023
2204299000,Grape must with fermentation prevented by alcohol: In containers >200L not for industry,CL,20,7.5,,20,27/07/2023
2204300000,Other grape must not elsewhere specified,CL,20,7.5,,20,27/07/2023
2205100000,Vermouth and other wine of grapes flavoured with plants/aromatic substances. In <=2 L,CL,20,7.5,,20,27/07/2023
2205900000,Vermouth and other wine of grapes flavoured with plants/aromatic substances. In >2 L,CL,20,7.5,50,20,25/07/2023
2206001000,Other beer not made from malt,CL,20,7.5,,,27/07/2023
2206009100,Palm wine,CL,20,7.5,,,22/06/2023
2206009900,Other fermented beverages not elsewhere specified.,CL,20,7.5,,,27/07/2023
2207101000,"Undenatured ethyl alcohol with alcoholic =>80% vol: For medical, pharmacy or science",CL,10,7.5,10,,07/12/2021
2207109000,"Undenatured ethyl alcohol with alcoholic =>80% vol: not for medical, pharmacy or science",CL,20,7.5,,,04/11/2021
2207200000,"Ethyl alcohol and other spirits, denatured, of any strength",CL,10,7.5,10,,15/04/2022
2208201000,Brandy,L,20,7.5,,20,27/07/2023
2208209000,Other spirits not specified.,LT,20,7.5,,20,27/07/2023
2208300000,Whiskies,CL,20,7.5,,20,27/07/2023
2208400000,Rum and other spirits obtained by distilling fermented sugarcane products,CL,20,7.5,,20,27/07/2023
2208500000,Gin and Geneva,CL,20,7.5,,20,27/07/2023
2208600000,Vodka,CL,20,7.5,,20,27/07/2023
2208700000,Liqueurs and cordials,CL,20,7.5,,20,27/07/2023
2208900000,"Other spirits, liqueurs & other spirituous beverages",L,20,7.5,,20,27/07/2023
2209001000,Alcohol vinegar,CL,20,7.5,,,12/02/2020
2209009000,Other Vinegar and substitutes for vinegar obtained from acetic acid not specified.,CL,20,7.5,,,12/02/2020
2301100000,"Flours, meals and pellets, of meat or meat offal; greaves",KG,10,0,,,15/12/2020
2301200000,"Flours, meals and pellets, of fish, crustaceans, molluscs or other aquatic invertebrates",KG,10,0,,,15/12/2020
2302100000,"Bran, sharps and other residues of maize (corn)",KG,10,7.5,,,14/04/2020
2302300000,"Bran, sharps and other residues of wheat",KG,10,7.5,,,14/04/2020
2302400000,"Bran, sharps and other residues of other cereals",KG,10,7.5,,,14/04/2020
2302500000,"Bran, sharps and other residues of leguminous plants",KG,10,7.5,,,14/04/2020
2303100000,Residues of starch manufacture and similar residues,KG,10,7.5,,,14/04/2020
2303200000,"Beetpulp, bagasse and other waste of sugar manufacture",KG,10,7.5,,,14/04/2020
2303300000,Brewing or distilling dregs and waste,KG,10,7.5,,,14/04/2020
2304000000,"Oilcake and other solid residues, resulting from the extraction of soyabean oil.",KG,10,7.5,,,14/04/2020
2305000000,"Oilcake and other solid residues, resulting from the extraction of groundnut oil.",KG,10,7.5,,,14/04/2020
2306100000,"Oilcake and other solid residues, resulting from the extraction of oil from cotton seeds",KG,10,7.5,,,14/04/2020
2306200000,"Oilcake and other solid residues, resulting from the extraction of oil from linseed",KG,10,7.5,,,14/04/2020
2306300000,"Oilcake and solid residues, resulting from the extraction of oil from sunflower seeds",KG,10,7.5,,,14/04/2020
2306410000,"Oilcake and residues, from the extraction of oil from low erucic acid rape/colza seeds",KG,10,7.5,,,14/04/2020
2306490000,"Oilcake and residues, from the extraction of oil from other erucic acid rape/colza seed",KG,10,7.5,,,14/04/2020
2306500000,"Oilcake and residues, from the extraction of oil from of coconut or copra",KG,10,7.5,,,14/04/2020
2306600000,"Oilcake and residues, from the extraction of oil from of palm nuts or kernels",KG,10,7.5,,,14/04/2020
2306900000,"Other oil cakes & residues, resulting from extraction of other vegetable fats and oils",KG,10,7.5,,,14/04/2020
2307000000,Wine lees; argol.,KG,10,7.5,,,14/04/2020
2308000000,"Vegetable materials,waste, residues.. used in animal feeding, not specified.",KG,10,7.5,,,14/04/2020
2309100000,"Dog or cat food, put up for retail sale",KG,20,7.5,,,14/04/2020
2309901000,Preparations containing added vitamins,KG,5,7.5,,,14/04/2020
2309909000,Other animal feed preparations not specified.,KG,10,7.5,,,14/04/2020
2401100000,"Tobacco, not stemmed/stripped",KG,5,7.5,,,14/04/2020
2401200000,"Tobacco, partly or wholly stemmed/stripped",KG,5,7.5,,,14/04/2020
2401300000,Tobacco refuse,KG,5,7.5,,,14/04/2020
2402100000,"Cigars, cheroots and cigarillos, containing tobacco",ST,20,7.5,,20,26/07/2023
2402200000,Cigarettes containing tobacco,ST,20,7.5,,20,27/07/2023
2402900000,"Cigars, cheroots, cigarillos and cigaret Other",ST,20,7.5,,20,26/07/2023
2403110000,Water pipe tobacco specified in Subheading Note 1 to this Chapter,KG,20,7.5,,,25/07/2023
2403190000,"Other Smoking tobacco, whether or not containing tobacco",KG,20,7.5,,,22/06/2023
2403910000,"""Homogenised"" or ""reconstituted"" tobacco",KG,10,7.5,60,20,22/06/2023
2403991000,Expanded tobacco,KG,10,7.5,,,22/06/2023
2403999000,Other manufactured tobacco and manufactured tobacco not specified in 24.03,KG,20,7.5,50,,26/07/2023
2404110000,-- Containing tobacco or reconstituted tobacco,KG,20,7.5,50,20,22/06/2023
2404120000,"-- Other, containing nicotine",KG,20,7.5,50,20,22/06/2023
2404190000,-- Other,KG,20,7.5,50,20,22/06/2023
2404910000,-- For oral application,KG,20,7.5,50,20,22/06/2023
2404920000,-- For transdermal application,KG,20,7.5,50,20,22/06/2023
2404990000,-- Other,KG,20,7.5,50,20,22/06/2023
2501001000,Denatured salt,KG,5,7.5,,,14/04/2020
2501002000,-  Salt for human consumption,KG,10,0,60,,05/01/2022
2501003000,Compressed salt used in animal feeding,KG,5,,,,14/04/2020
2501009000,Other salt not specified.,KG,10,7.5,,,14/04/2020
2502000000,Unroasted iron pyrites.,KG,5,7.5,,,14/04/2020
2503000000,"Sulphur of all kinds, other than sublimed, precipitated and colloidal sulphur.",KG,5,7.5,,,14/04/2020
2504100000,Natural graphite in powder or in flakes,KG,5,7.5,,,14/04/2020
2504900000,Other Natural graphite not specified in 25.04,KG,5,7.5,,,14/04/2020
2505100000,Silica sands and quartz sands,KG,5,7.5,,,14/04/2020
2505900000,"Natural sands of all kinds, excluding silica and quartz",KG,5,7.5,,,14/04/2020
2506100000,Quartz,KG,5,7.5,,,14/04/2020
2506200000,Quartzite,KG,5,7.5,,,14/04/2020
2507000000,"Kaolin and other kaolinic clays, whether or not calcined.",KG,5,7.5,,,14/04/2020
2508100000,Bentonite,KG,5,7.5,,,14/04/2020
2508300000,Fireclay,KG,5,7.5,,,14/04/2020
2508400000,Other clays,KG,5,7.5,,,14/04/2020
2508500000,"Andalusite, kyanite and sillimanite",KG,5,7.5,,,14/04/2020
2508600000,Mullite,KG,5,7.5,,,14/04/2020
2508700000,Chamotte or dinas earths,KG,5,7.5,,,14/04/2020
2509000000,Chalk.,KG,5,7.5,,,14/04/2020
2510100000,"Natural calcium phosphates, aluminium calcium phosphates and phosphatic chalk. Unground",KG,5,7.5,,,14/04/2020
2510200000,"Natural calcium phosphates, aluminium calcium phosphates and phosphatic chalk .Ground",KG,5,7.5,,,14/04/2020
2511100000,Natural barium sulphate (barytes),KG,5,7.5,,,14/04/2020
2511200000,Natural barium carbonate (witherite),KG,5,7.5,,,14/04/2020
2512000000,"Siliceous fossil meals and similar siliceous earths, of specific gravity =< 1",KG,5,7.5,,,14/04/2020
2513100000,Pumice stone,KG,5,7.5,,,14/04/2020
2513200000,"Emery, natural corundum, natural garnet and other natural abrasives",KG,5,7.5,,,14/04/2020
2514000000,"Slate, in blocks or slabs of a rectangular shape.",KG,5,7.5,,,14/04/2020
2515110000,Crude or roughly trimmed,KG,5,7.5,,,14/04/2020
2515120000,Marble and travertine cut into blocks or slabs in rectangular/ square shape,KG,5,7.5,,,14/04/2020
2515200000,Ecaussine and other calcareous monumental or building stone; alabaster,KG,5,7.5,,,14/04/2020
2516110000,Crude or roughly trimmed,KG,5,7.5,,,14/04/2020
2516120000,Granite cut into blocks or slabs in rectangular/ square shape,KG,5,7.5,,,14/04/2020
2516200000,Sandstone,KG,5,7.5,,,14/04/2020
2516900000,Other monumental or building stone,KG,5,7.5,,,14/04/2020
2517100000,"Pebbles, gravel.. used for road metalling, railway or other ballast, shingle and flint",KG,5,7.5,,,14/04/2020
2517200000,"Macadam of slag, dross or similar industrial waste,",KG,5,7.5,,,14/04/2020
2517300000,Tarred macadam,KG,5,7.5,,,14/04/2020
2517410000,"Granules, chippings and powder of marble",KG,5,7.5,,,14/04/2020
2517490000,"Pebbles, gravel, broken or crushed stone Other",KG,5,7.5,,,14/04/2020
2518100000,"Dolomite, not calcined or sintered",KG,5,7.5,,,14/04/2020
2518200000,Calcined or sintered dolomite,KG,5,7.5,,,14/04/2020
2519100000,Natural magnesium carbonate (magnesite),KG,5,7.5,,,14/04/2020
2519900000,Natural magnesium carbonate (magnesite); Other,KG,5,7.5,,,14/04/2020
2520100000,Gypsum; anhydrite,KG,5,7.5,,,14/04/2020
2520200000,Plasters,KG,10,7.5,,,14/04/2020
2521000000,Limestone flux; limestone and stone of a kind used for manufacture of lime or cement.,KG,5,7.5,,,14/04/2020
2522100000,Quicklime,KG,10,7.5,,,14/04/2020
2522200000,Slaked lime,KG,20,7.5,,,14/04/2020
2522300000,Hydraulic lime,KG,20,7.5,,,14/04/2020
2523100000,Cement clinkers,KG,10,7.5,40,,14/04/2020
2523210000,"White cement, whether or not artificially coloured",KG,20,7.5,,,14/04/2020
2523290000,Other excluding White cement,KG,20,7.5,30,,14/04/2020
2523300000,Aluminous cement,KG,20,7.5,,,14/04/2020
2523900000,Other hydraulic cements,KG,20,7.5,,,14/04/2020
2524100000,Crocidolite,KG,10,7.5,,,14/04/2020
2524900000,Other Asbestos excluding Crocidolite,KG,5,7.5,,,14/04/2020
2525100000,Crude mica and mica rifted into sheets or splitting,KG,5,7.5,,,14/04/2020
2525200000,Mica powder,KG,5,7.5,,,14/04/2020
2525300000,Mica waste,KG,5,7.5,,,14/04/2020
2526100000,"Limestone flux; limestone and other calcareous stone, not crushed, not powdered",KG,5,7.5,,,14/04/2020
2526200000,Limestone flux; limestone and other calcareous stone; Crushed or powdered,KG,5,7.5,,,14/04/2020
2528000000,"Natural borates/concentrates,not including borates; containing <= 85 % of H3BO3",KG,5,7.5,,,14/04/2020
2529100000,Feldspar,KG,5,7.5,,,14/04/2020
2529210000,Feldspar; Containing by weight 97 % or less of calcium fluoride,KG,5,7.5,,,14/04/2020
2529220000,Feldspar; Containing by weight more than 97 % of calcium fluoride,KG,5,7.5,,,14/04/2020
2529300000,Leucite; nepheline and nepheline syenite,KG,5,7.5,,,14/04/2020
2530100000,"Vermiculite, perlite and chlorites, unexpanded",KG,5,7.5,,,14/04/2020
2530200000,"Kieserite, epsomite (natural magnesium sulphates)",KG,5,7.5,,,14/04/2020
2530900000,Other Mineral substances not elsewhere specified or included,KG,5,7.5,,,14/04/2020
2601111000,Nonagglomerated: Iron ores lumps,KG,5,7.5,,,14/04/2020
2601112000,Nonagglomerated: Iron ores fines,KG,5,7.5,,,14/04/2020
2601113000,Nonagglomerated: Iron ores concentrates,KG,5,7.5,,,14/04/2020
2601119000,Roasted iron pyrites.,KG,5,7.5,,,14/04/2020
2601120000,Agglomerated Iron ores and concentrates,KG,5,7.5,,,14/04/2020
2601200000,Roasted iron pyrites,KG,5,7.5,,,14/04/2020
2602000000,"Manganese ores/concentrates, including ferruginous manganese' dry content =>20 %",KG,5,7.5,,,14/04/2020
2603000000,Copper ores and concentrates.,KG,5,7.5,,,14/04/2020
2604000000,Nickel ores and concentrates.,KG,5,7.5,,,14/04/2020
2605000000,Cobalt ores and concentrates.,KG,5,7.5,,,14/04/2020
2606000000,Aluminium ores and concentrates.,KG,5,7.5,,,14/04/2020
2607000000,Lead ores and concentrates.,KG,5,7.5,,,14/04/2020
2608000000,Zinc ores and concentrates.,KG,5,7.5,,,14/04/2020
2609000000,Tin ores and concentrates.,KG,5,7.5,,,14/04/2020
2610000000,Chromium ores and concentrates.,KG,5,7.5,,,14/04/2020
2611000000,Tungsten ores and concentrates.,KG,5,7.5,,,14/04/2020
2612100000,Uranium ores and concentrates,KG,5,7.5,,,14/04/2020
2612200000,Thorium ores and concentrates,KG,5,7.5,,,14/04/2020
2613100000,Roasted,KG,5,7.5,,,14/04/2020
2613900000,Molybdenum ores and concentrates. Other,KG,5,7.5,,,14/04/2020
2614000000,Titanium ores and concentrates.,KG,5,7.5,,,14/04/2020
2615100000,Zirconium ores and concentrates,KG,5,7.5,,,14/04/2020
2615900000,"Niobium, tantalum, vanadium or zirconium Other",KG,5,7.5,,,14/04/2020
2616100000,Silver ores and concentrates,KG,5,7.5,,,14/04/2020
2616901000,Gold ores and concentrates,KG,5,7.5,,,14/04/2020
2616909000,Other Precious metal ores and concentrates,KG,5,7.5,,,14/04/2020
2617100000,Antimony ores and concentrates,KG,5,7.5,,,14/04/2020
2617900000,Other ores and concentrates.,KG,5,7.5,,,14/04/2020
2618000000,Granulated slag (slag sand) from the manufacture of iron or steel.,KG,5,7.5,,,14/04/2020
2619000000,"Slag, dross (other than granulated slag), scalings and othe",KG,5,7.5,,,14/04/2020
2620110000,Hard zinc spelter,KG,5,7.5,,,14/04/2020
2620190000,Ash and residues (other than from the manufacture of iron and steel Other,KG,5,7.5,,,14/04/2020
2620210000,Leaded gasoline sludges and leaded antiknock compound sludges,KG,5,7.5,,,14/04/2020
2620290000,Ash and residues Otherlead,KG,5,7.5,,,14/04/2020
2620300000,Containing mainly copper,KG,5,7.5,,,14/04/2020
2620400000,Containing mainly aluminium,KG,5,7.5,,,14/04/2020
2620600000,"Containing arsenic, mercury, thallium or their mixtures, ",KG,5,7.5,,,14/04/2020
2620910000,"Containing antimony, beryllium, cadmium, chromium or their mixtures",KG,5,7.5,,,14/04/2020
2620990000,"Other ashes and residues containing arsenic, metals or their compounds",KG,5,7.5,,,14/04/2020
2621100000,Ash and residues from the incineration of municipal waste,KG,5,7.5,,,14/04/2020
2621900000,"Other slag and ash, including seaweed as Other",KG,5,7.5,,,14/04/2020
2701110000,Anthracite,KG,5,7.5,,,14/04/2020
2701120000,Bituminous coal,KG,5,7.5,,,14/04/2020
2701190000,Other coal,KG,5,7.5,,,14/04/2020
2701200000,"Briquettes, ovoids and similar solid fuels manufactured from coal",KG,5,7.5,,,14/04/2020
2702100000,"Lignite, whether or not pulverised, but not agglomerated",KG,5,7.5,,,14/04/2020
2702200000,Agglomerated lignite,KG,5,7.5,,,14/04/2020
2703000000,"Peat (including peat litter), whether or not agglomerated.",KG,5,7.5,,,14/04/2020
2704000000,"Coke and semicoke of coal, of lignite or of peat, whether ",KG,5,7.5,,,14/04/2020
2705000000,"Coal gas, water gas, producer gas and similar gases, other ",KG,5,7.5,,,14/04/2020
2706000000,"Tar distilled from coal, from lignite or from peat, and oth",KG,5,7.5,,,14/04/2020
2707100000,Benzol (benzene),KG,5,7.5,,,14/04/2020
2707200000,Toluol (toluene),KG,5,7.5,,,14/04/2020
2707300000,Xylol (xylenes),KG,5,7.5,,,14/04/2020
2707400000,Naphthalene,KG,5,7.5,,,14/04/2020
2707500000,Other aromatic hydrocarbon mixtures of which 65 % or more,KG,5,7.5,,,14/04/2020
2707910000,Creosote oils,KG,5,7.5,,,14/04/2020
2707990000,Benzol (Benzene) Other,KG,5,7.5,,,14/04/2020
2708100000,Pitch,KG,5,7.5,,,14/04/2020
2708200000,Pitch coke,KG,5,7.5,,,14/04/2020
2709000000,"Petroleum oils and oils obtained from bituminous minerals, crude.",KG,0,,,,21/01/2022
2710121000,Partially refined oil including crude oil having undergone primary refinement,KG,0,7.5,,,14/04/2020
2710122100,White spirit,KG,5,7.5,,,14/04/2020
2710122900,Other special spirit not specified.,KG,10,7.5,,,14/04/2020
2710123000,Aviation spirit,KG,10,0,,,15/12/2020
2710124000,"Motor spirit, super",KG,10,0,,,15/12/2020
2710125000,"Motor spirit, ordinary",KG,10,0,,,15/12/2020
2710129000,Other Light oils and preparations Not specified or included,KG,10,7.5,,,14/04/2020
2710191100,Kerosine type jet fuel,KG,10,0,,,15/12/2020
2710191200,Kerosine,KG,5,0,,,15/12/2020
2710191900,Other medium oils not specified.,KG,10,7.5,,,14/04/2020
2710192100,Gas oil,KG,10,7.5,,,14/04/2020
2710192200,Domestic fuel oil,KG,5,7.5,,,14/04/2020
2710192300,Light fuel oil,KG,5,7.5,,,14/04/2020
2710192400,Heavy fuel oil I,KG,5,7.5,,,14/04/2020
2710192500,Heavy fuel oil II,KG,5,7.5,,,14/04/2020
2710193100,Meant to be mixed further,KG,10,7.5,,,01/04/2022
2710193200,Brake fluid,KG,10,7.5,20,,14/04/2020
2710193300,Grease,KG,10,7.5,20,,14/04/2020
2710193910,Twocycle motor oil,KG,10,7.5,20,,14/04/2020
2710193990,Other motor oil not specified.,KG,10,7.5,20,,08/12/2021
2710200000,Petroleum oils and oils obtained from bituminous minerals,KG,10,7.5,,,14/04/2020
2710910000,"Containing polychlorinated biphenyls (PCBs), polychlorin",KG,10,7.5,,,01/04/2022
2710990000,Petroleum oils and oils obtained from.. other waste oil,KG,10,7.5,,,01/04/2022
2711110000,Natural gas,KG,5,0,,,15/12/2020
2711120000,Propane,KG,5,7.5,,,14/04/2020
2711130000,Butanes,KG,0,7.5,,,14/04/2020
2711140000,"Ethylene, propylene, butylene and butadiene",KG,5,7.5,,,14/04/2020
2711190000,Other Liquefied petroleum gases and other gaseous hydrocarbons,KG,5,0,,,15/12/2020
2711210000,Natural gas,KG,5,0,,,15/12/2020
2711290000,Other petroleum gases etc in gaseous state,KG,5,7.5,,,14/04/2020
2712100000,Petroleum jelly,KG,5,7.5,,,14/04/2020
2712200000,Paraffin wax containing by weight less than 0.75 % of oil,KG,5,7.5,,,14/04/2020
2712900000,"Petroleum jelly; parfin wax,micro cryst, ne other",KG,5,7.5,,,14/04/2020
2713110000,Not calcined,KG,5,7.5,,,14/04/2020
2713120000,Calcined,KG,5,7.5,,,14/04/2020
2713200000,Petroleum bitumen,KG,5,7.5,,,14/04/2020
2713900000,Other residues of petroleum oils or of oils obtained from bituminous minerals,KG,5,7.5,,,14/04/2020
2714100000,Bituminous or oil shale and tar sands,KG,5,7.5,,,14/04/2020
2714900000,"Bitumen and asphalt, natural; bituminous Other",KG,5,7.5,,,14/04/2020
2715000000,"Bituminous mixtures based on natural asphalt, on natural bi",KG,5,7.5,,,14/04/2020
2716000000,Electrical energy. (optional heading),TKH,5,7.5,,,12/02/2020
2801100000,Chlorine,KG,5,0,,,20/06/2020
2801200000,Iodine,KG,5,0,,,20/06/2020
2801300000,Fluorine; bromine,KG,5,7.5,,,14/04/2020
2802000000,"Sulphur, sublimed or precipitated; colloidal sulphur.",KG,5,,,,14/04/2020
2803000000,Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).,KG,5,7.5,,,14/04/2020
2804100000,Hydrogen,M3,5,7.5,,,12/02/2020
2804210000,Argon,M3,5,7.5,,,12/02/2020
2804290000,"Other Rare gases, Not specified or included",M3,5,7.5,,,12/02/2020
2804300000,Nitrogen,M3,5,0,,,20/06/2020
2804400000,Oxygen,M3,5,0,,,20/06/2020
2804500000,Boron; tellurium,KG,5,7.5,,,14/04/2020
2804610000,Containing by weight not less than 99.99 % of silicon,KG,5,7.5,,,14/04/2020
2804690000,"Hydrogen, rare gases and other non metals Other(Silicon)",KG,5,7.5,,,14/04/2020
2804700000,Phosphorus,KG,5,7.5,,,14/04/2020
2804800000,Arsenic,KG,5,7.5,,,14/04/2020
2804900000,Selenium,KG,5,7.5,,,14/04/2020
2805110000,Sodium,KG,5,7.5,,,14/04/2020
2805120000,Calcium,KG,5,7.5,,,14/04/2020
2805190000,Alkali or alkalineearth metals; rareearth Other (Alkali or alkalineear,KG,5,7.5,,,14/04/2020
2805300000,"Rareearth metals, scandium and yttrium, whether or not intermixed or interalloyed",KG,5,7.5,,,14/04/2020
2805400000,Mercury,KG,5,7.5,,,14/04/2020
2806100000,Hydrogen chloride (hydrochloric acid),KG,5,7.5,,,14/04/2020
2806200000,Chlorosulphuric acid,KG,5,7.5,,,14/04/2020
2807000000,Sulphuric acid; oleum.,KG,5,7.5,,,14/04/2020
2808000000,Nitric acid; sulphonitric acids.,KG,5,7.5,,,14/04/2020
2809100000,Diphosphorus pentaoxide,KG,5,,,,14/04/2020
2809200000,Phosphoric acid and polyphosphoric acids,KG,5,7.5,,,14/04/2020
2810000000,Oxides of boron; boric acids.,KG,5,7.5,,,14/04/2020
2811110000,Hydrogen fluoride (hydrofluoric acid),KG,5,7.5,,,14/04/2020
2811120000,Hydrogen cyanide (hydrocyanic acid),KG,5,7.5,,,14/04/2020
2811190000,Other inorganic acids,KG,5,7.5,,,14/04/2020
2811210000,Carbon dioxide,KG,5,7.5,,,14/04/2020
2811220000,Silicon dioxide,KG,5,,,,14/04/2020
2811290000,Other inorganic Oxygen compounds of non metals,KG,5,7.5,,,14/04/2020
2812110000,Carbonyl dichloride (phosgene),KG,5,7.5,,,14/04/2020
2812120000,Phosphorus oxychloride,KG,5,7.5,,,14/04/2020
2812130000,Phosphorus trichloride,KG,5,7.5,,,14/04/2020
2812140000,Phosphorus pentachloride,KG,5,7.5,,,14/04/2020
2812150000,Sulphur monochloride,KG,5,7.5,,,14/04/2020
2812160000,Sulphur dichloride,KG,5,7.5,,,14/04/2020
2812170000,Thionyl chloride,KG,5,7.5,,,14/04/2020
2812190000,Other Chlorides and Chloride oxides of non-metals,KG,5,7.5,,,14/04/2020
2812900000,Other Halides and halide oxides of nonmetals (excluding Chlorides and chloride oxides),KG,5,7.5,,,14/04/2020
2813100000,Carbon disulphide,KG,5,7.5,,,14/04/2020
2813900000,Sulphides of nonmetals; commercial phosphorus trisulphide; Other,KG,5,7.5,,,14/04/2020
2814100000,Anhydrous ammonia,KG,5,7.5,,,14/04/2020
2814200000,Ammonia in aqueous solution,KG,5,7.5,,,14/04/2020
2815110000,Solid,KG,5,7.5,,,14/04/2020
2815120000,In aqueous solution (soda lye or liquid soda),KG,5,7.5,,,14/04/2020
2815200000,Potassium hydroxide (caustic potash),KG,5,7.5,,,14/04/2020
2815300000,Peroxides of sodium or potassium,KG,5,7.5,,,14/04/2020
2816100000,Hydroxide and peroxide of magnesium,KG,5,7.5,,,14/04/2020
2816400000,"Oxides, hydroxides and peroxides, of strontium or barium",KG,5,7.5,,,14/04/2020
2817000000,Zinc oxide; zinc peroxide.,KG,5,7.5,,,14/04/2020
2818100000,"Artificial corundum, whether or not chemically defined",KG,5,7.5,,,14/04/2020
